entry_date,entry_price,direction,shares,exit_date,exit_price,pnl,pnl_pct,exit_reason
2020-01-30,646.1889608459472,long,30.950698962447984,2020-02-03,609.4597972051523,-1155.6564937017465,-0.057782824685087324,stop-loss
2020-02-03,620.1176431274414,long,31.8727727235423,2020-02-04,637.7854399414063,542.7936820035902,0.02746254934488874,signal
2020-02-06,652.4773818054199,long,30.45235745787973,2020-02-07,641.0271654357911,-368.20687024006475,-0.018531283799612882,signal
2020-03-02,589.0781443176269,long,33.59801986526882,2020-03-03,600.4277853393555,361.15227985221645,0.018247516632688626,signal
2020-03-04,599.618568145752,long,33.12127464719084,2020-03-06,554.9323149943193,-1498.4457291980289,-0.07544994079541258,stop-loss
2020-03-06,568.8700472717285,long,34.37774620197911,2020-03-09,489.60672474906767,-2741.7259605318504,-0.14019533921657634,stop-loss
2020-03-09,498.6676662597656,long,38.10997765992693,2020-03-12,468.90463069830446,-1152.1385653394427,-0.060625426988103574,stop-loss
2020-03-12,475.77411460876465,long,39.45146339146741,2020-03-13,421.3747592004111,-2162.7580292987695,-0.11522428077583372,stop-loss
2020-03-13,494.70658026123044,long,37.05970406243961,2020-03-16,449.36510056017187,-1696.9951571170895,-0.09256162466534965,stop-loss
2020-03-16,454.6037752075195,long,39.57427253369031,2020-03-18,429.6914096317811,-1002.893469703351,-0.055745372932290226,stop-loss
2020-03-18,433.47813587951657,long,41.03191235271639,2020-03-19,398.92887795084806,-1433.9909379355668,-0.08062272099539781,stop-loss
2020-03-19,410.74121768188473,long,42.59636152906136,2020-03-25,514.8918980532931,4414.507513160363,0.2523140703001471,take-profit
2020-10-26,920.5173406677245,long,19.962126597513816,2020-11-02,842.5753375212588,-1572.70772962911,-0.08558728337136831,stop-loss
2020-11-02,851.7202640075683,long,21.200936281576684,2020-11-06,919.6200380859375,1420.0419779382391,0.07864102437239677,signal
2021-03-24,928.7739693603515,long,19.74394696027018,2021-03-30,919.6879362487794,-197.55242566743618,-0.010773042072563606,signal
2021-03-31,908.7222615051269,long,20.13209838273105,2021-04-01,916.3115735168458,134.3415013298909,0.007343278272009618,signal
2021-04-12,867.0084829101562,long,21.127469609970337,2021-04-13,875.5005683288575,160.91916495800615,0.008784902340063728,signal
2021-04-22,864.8535974121094,long,21.213088230290893,2021-04-23,863.0601363830567,-56.35301786802302,-0.0030716426148712224,signal
2021-07-02,969.2276577758788,long,18.91328180166231,2021-07-05,977.8776988830567,145.10578856948268,0.007915749562801838,signal
2021-07-08,952.6341600952148,long,19.26933915764178,2021-07-13,954.9110385437012,25.473438377532148,0.00138769683611851,signal
2021-11-03,1130.6329050292968,long,16.23697134932131,2021-11-10,1159.6549898681642,452.40147518067533,0.02464321507454912,signal
2021-11-17,1121.7102330322266,long,16.44351832283741,2021-11-18,1124.8185349731446,32.61544572869752,0.001768267193732403,signal
2021-11-22,1076.072557434082,long,17.14354367549373,2021-11-23,1085.0476588745119,135.26348160608904,0.007332269303818487,signal
2022-02-02,1085.0862172851562,long,17.02266580210487,2022-02-09,1083.978979614258,-37.300348741679045,-0.0020193940496218547,signal
2022-05-11,1115.01816796875,long,16.55569953195214,2022-05-18,1154.402246459961,632.9190331119062,0.034286146488890626,signal
2022-05-19,1128.9257530517577,long,16.460602069529077,2022-05-20,1193.5591718750002,1044.2582850679319,0.05619489101021407,signal
2022-06-23,1122.1425780029297,long,16.742910440098782,2022-06-28,1149.558844177246,439.7811283848059,0.023407638071167254,signal
2022-09-23,1114.180346923828,long,16.938129788206435,2022-09-29,1055.3486657322394,-1014.3742843534965,-0.05374985299522179,stop-loss
2022-09-29,1062.0223229370117,long,17.57541403546965,2022-10-06,1105.1274577026368,738.1675179294871,0.03954719820932935,signal
2022-12-16,1171.7733380126951,long,16.05206556381235,2022-12-27,1161.066149169922,-190.510007258712,-0.010128456252530303,signal
2023-01-27,1067.5258057250976,long,17.58038866050479,2023-02-14,1085.0518071899414,289.03828492934554,0.015400985689977302,signal
2023-03-17,1015.345126373291,long,18.537118300125588,2023-03-21,1035.5921743774416,356.1250294341371,0.018921109020727,signal
2023-03-24,1006.3018496704101,long,18.77074301370561,2023-03-29,1019.6228681030274,230.90633485143553,0.012224359488699441,signal
2023-08-30,1200.7424051513672,long,15.766443155041879,2023-09-11,1227.595367919922,404.0208984491728,0.02134126961011633,signal
2023-10-03,1151.1344837036131,long,16.5128010984652,2023-10-11,1163.3284451904296,182.146649406528,0.009582401706998186,signal
2024-05-07,1391.873811767578,long,13.680178651920553,2024-05-08,1407.4238657226563,193.47370623041206,0.010160856515717841,signal
